id,review_id,category_id,rating_value,created_at
131,301,4,4.5,2025-06-18T16:33:04.431289
132,302,4,4.5,2025-06-18T16:33:04.431292
133,303,4,4.5,2025-06-18T16:33:04.431294
134,304,4,4.5,2025-06-18T16:33:04.431296
135,305,4,4.5,2025-06-18T16:33:04.431299
136,301,5,4.3,2025-06-18T16:33:04.431421
137,302,5,4.3,2025-06-18T16:33:04.431424
138,303,5,4.3,2025-06-18T16:33:04.431426
139,304,5,4.3,2025-06-18T16:33:04.431429
140,305,5,4.3,2025-06-18T16:33:04.431431
141,351,1,4.2,2025-06-18T16:33:04.431561
142,352,1,4.2,2025-06-18T16:33:04.431564
143,353,1,4.2,2025-06-18T16:33:04.431566
144,354,1,4.2,2025-06-18T16:33:04.431569
145,355,1,4.2,2025-06-18T16:33:04.431571
146,351,2,4.3,2025-06-18T16:33:04.431694
147,352,2,4.3,2025-06-18T16:33:04.431696
148,353,2,4.3,2025-06-18T16:33:04.431699
149,354,2,4.3,2025-06-18T16:33:04.431701
150,355,2,4.3,2025-06-18T16:33:04.431704
151,351,4,4.4,2025-06-18T16:33:04.431827
152,352,4,4.4,2025-06-18T16:33:04.431829
153,353,4,4.4,2025-06-18T16:33:04.431832
154,354,4,4.4,2025-06-18T16:33:04.431834
155,355,4,4.4,2025-06-18T16:33:04.431842
156,351,5,4.4,2025-06-18T16:33:04.431965
157,352,5,4.4,2025-06-18T16:33:04.431968
158,353,5,4.4,2025-06-18T16:33:04.431970
159,354,5,4.4,2025-06-18T16:33:04.431973
160,355,5,4.4,2025-06-18T16:33:04.431975
161,401,1,4.1,2025-06-18T16:33:04.432111
162,402,1,4.1,2025-06-18T16:33:04.432114
163,403,1,4.1,2025-06-18T16:33:04.432117
164,404,1,4.1,2025-06-18T16:33:04.432119
165,405,1,4.1,2025-06-18T16:33:04.432125
166,401,2,4.2,2025-06-18T16:33:04.432248
167,402,2,4.2,2025-06-18T16:33:04.432250
168,403,2,4.2,2025-06-18T16:33:04.432253
169,404,2,4.2,2025-06-18T16:33:04.432255
170,405,2,4.2,2025-06-18T16:33:04.432258
171,401,4,4.3,2025-06-18T16:33:04.432406
172,402,4,4.3,2025-06-18T16:33:04.432409
173,403,4,4.3,2025-06-18T16:33:04.432411
174,404,4,4.3,2025-06-18T16:33:04.432414
175,405,4,4.3,2025-06-18T16:33:04.432417
176,401,5,4.3,2025-06-18T16:33:04.432539
177,402,5,4.3,2025-06-18T16:33:04.432541
178,403,5,4.3,2025-06-18T16:33:04.432544
179,404,5,4.3,2025-06-18T16:33:04.432546
180,405,5,4.3,2025-06-18T16:33:04.432549
181,451,1,4.4,2025-06-18T16:33:04.432688
182,452,1,4.4,2025-06-18T16:33:04.432691
